Mag Ratio,Canvas Size,Contrast Threshold,Adjust Contrast,Home Detections,Home Confidence,Away Detections,Away Confidence
1,1024,0.1,0.5,80,0.9120609689113037,0,0.9771319419769855
1,1024,0.1,0.7,80,0.9120609689113037,0,0.9771319419769855
1,1024,0.1,0.9,80,0.9120609689113037,0,0.9768454623703283
1,1024,0.2,0.5,80,0.9120609689113037,0,0.9771319419769855
1,1024,0.2,0.7,80,0.9120609689113037,0,0.9771319419769855
1,1024,0.2,0.9,80,0.9120609689113037,0,0.976911924708063
1,1024,0.3,0.5,80,0.9120609689113037,0,0.9771319419769855
1,1024,0.3,0.7,80,0.9120609689113037,0,0.9771319419769855
1,1024,0.3,0.9,80,0.9120609689113037,0,0.976781538395041
1,2048,0.1,0.5,80,0.9120609689113037,0,0.9771319419769855
1,2048,0.1,0.7,80,0.9120609689113037,0,0.9771319419769855
1,2048,0.1,0.9,80,0.9120609689113037,0,0.9768454623703283
1,2048,0.2,0.5,80,0.9120609689113037,0,0.9771319419769855
1,2048,0.2,0.7,80,0.9120609689113037,0,0.9771319419769855
1,2048,0.2,0.9,80,0.9120609689113037,0,0.976911924708063
1,2048,0.3,0.5,80,0.9120609689113037,0,0.9771319419769855
1,2048,0.3,0.7,80,0.9120609689113037,0,0.9771319419769855
1,2048,0.3,0.9,80,0.9120609689113037,0,0.976781538395041
1,4096,0.1,0.5,80,0.9120609689113037,0,0.9771319419769855
1,4096,0.1,0.7,80,0.9120609689113037,0,0.9771319419769855
1,4096,0.1,0.9,80,0.9120609689113037,0,0.9768454623703283
1,4096,0.2,0.5,80,0.9120609689113037,0,0.9771319419769855
1,4096,0.2,0.7,80,0.9120609689113037,0,0.9771319419769855
1,4096,0.2,0.9,80,0.9120609689113037,0,0.976911924708063
1,4096,0.3,0.5,80,0.9120609689113037,0,0.9771319419769855
1,4096,0.3,0.7,80,0.9120609689113037,0,0.9771319419769855
1,4096,0.3,0.9,80,0.9120609689113037,0,0.976781538395041
2,1024,0.1,0.5,80,0.8576885479799088,0,0.9822046200130237
2,1024,0.1,0.7,80,0.8576885479799088,0,0.9822046200130237
2,1024,0.1,0.9,80,0.8576885479799088,0,0.9822046200130237
2,1024,0.2,0.5,80,0.8576885479799088,0,0.9822046200130237
2,1024,0.2,0.7,80,0.8576885479799088,0,0.9822046200130237
2,1024,0.2,0.9,80,0.8530003204280634,0,0.979879007194316
2,1024,0.3,0.5,80,0.8576885479799088,0,0.9822046200130237
2,1024,0.3,0.7,80,0.8576885479799088,0,0.9822046200130237
2,1024,0.3,0.9,80,0.8434971596042989,0,0.9787742092255408
2,2048,0.1,0.5,80,0.8576885479799088,0,0.9822046200130237
2,2048,0.1,0.7,80,0.8576885479799088,0,0.9822046200130237
